Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
2037	40.57	6.4515	37.99	37.9883	-0.0001	37.9175	34.87	0.0149	34.86	34.864	0.0146	34.859
2038	40.57	6.4515	37.99	37.9891	-0.0001	37.9183	34.80	0.0119	34.79	34.791	0.0118	34.787
2039	40.57	6.4515	37.99	37.9899	-0.0001	37.9192	34.73	0.0102	34.73	34.729	0.0101	34.725
2040	40.57	6.4515	37.99	37.9908	-0.0001	37.9200	34.68	0.0092	34.67	34.672	0.0092	34.668
2041	40.57	6.4515	37.99	37.9916	-0.0001	37.9208	34.62	0.0086	34.62	34.619	0.0086	34.615
2042	40.57	6.4515	37.99	37.9924	-0.0001	37.9216	34.57	0.0082	34.57	34.568	0.0082	34.564
2043	40.57	6.4515	37.99	37.9932	-0.0001	37.9225	34.52	0.0080	34.52	34.518	0.0080	34.515
2044	40.57	6.4515	37.99	37.9940	-0.0001	37.9233	34.47	0.0079	34.47	34.469	0.0079	34.466
2045	40.58	6.4515	37.99	37.9949	-0.0001	37.9241	34.42	0.0078	34.42	34.421	0.0078	34.418
2046	40.58	6.4515	38.00	37.9957	-0.0001	37.9249	34.38	0.0077	34.37	34.373	0.0077	34.370
2047	40.58	6.4515	38.00	37.9965	-0.0001	37.9257	36.09	3.7557	34.50	34.496	-0.0198	34.455
2048	40.58	6.4515	38.00	37.9973	-0.0001	37.9265	38.46	8.9726	34.75	34.747	-0.0406	34.654
2049	40.58	6.4515	38.00	37.9981	-0.0001	37.9273	40.35	13.0818	35.03	35.025	-0.0448	34.890
2050	40.58	6.4515	38.00	37.9989	-0.0001	37.9281	40.52	13.3599	35.18	35.176	-0.0243	35.037
2051	40.58	6.4515	38.00	37.9997	-0.0001	37.9289	40.64	13.3680	35.29	35.293	-0.0188	35.152
2052	40.58	6.4515	38.00	38.0005	-0.0001	37.9297	39.61	10.9723	35.28	35.283	0.0016	35.166
2053	40.58	6.4515	38.00	38.0013	-0.0001	37.9305	39.64	10.8015	35.32	35.323	-0.0065	35.207
2054	40.58	6.4515	38.00	38.0020	-0.0001	37.9313	40.82	13.1979	35.48	35.478	-0.0249	35.338
2055	40.58	6.4515	38.00	38.0028	-0.0001	37.9321	40.92	13.3700	35.57	35.573	-0.0154	35.432
2056	40.58	6.4515	38.00	38.0036	-0.0001	37.9328	41.01	13.3733	35.66	35.658	-0.0137	35.516
2057	40.58	6.4515	38.00	38.0044	-0.0001	37.9336	39.33	9.6261	35.57	35.567	0.0146	35.463
2058	40.59	6.4515	38.01	38.0052	-0.0001	37.9344	36.98	4.4097	35.34	35.345	0.0358	35.293
2059	40.59	6.4515	38.01	38.0060	-0.0001	37.9352	35.12	0.3008	35.09	35.095	0.0404	35.085
2060	40.59	6.4515	38.01	38.0067	-0.0001	37.9360	34.98	0.0229	34.97	34.971	0.0200	34.964
2061	40.59	6.4515	38.01	38.0075	-0.0001	37.9367	34.89	0.0149	34.88	34.880	0.0146	34.875
2062	40.59	6.4515	38.01	38.0083	-0.0001	37.9375	34.81	0.0119	34.81	34.807	0.0118	34.803
2063	40.59	6.4515	38.01	38.0090	-0.0001	37.9383	34.75	0.0102	34.74	34.744	0.0101	34.741
2064	40.59	6.4515	38.01	38.0098	-0.0001	37.9390	34.69	0.0092	34.69	34.688	0.0092	34.684
2065	40.59	6.4515	38.01	38.0106	-0.0001	37.9398	34.64	0.0086	34.63	34.634	0.0086	34.631
2066	40.59	6.4515	38.01	38.0113	-0.0001	37.9405	34.59	0.0082	34.58	34.583	0.0082	34.580
2067	40.59	6.4515	38.01	38.0121	-0.0001	37.9413	34.54	0.0080	34.53	34.534	0.0080	34.531
2068	40.59	6.4515	38.01	38.0128	-0.0001	37.9420	34.49	0.0079	34.48	34.485	0.0079	34.482
2069	40.59	6.4515	38.01	38.0136	-0.0001	37.9428	34.44	0.0078	34.44	34.437	0.0078	34.434
2070	40.59	6.4515	38.01	38.0143	-0.0001	37.9435	34.39	0.0077	34.39	34.389	0.0077	34.386
2071	40.60	6.4515	38.02	38.0151	-0.0001	37.9443	36.11	3.7557	34.51	34.511	-0.0197	34.470
2072	40.60	6.4515	38.02	38.0158	-0.0001	37.9450	38.48	8.9727	34.76	34.763	-0.0406	34.669
2073	40.60	6.4515	38.02	38.0166	-0.0001	37.9458	40.37	13.0818	35.04	35.041	-0.0448	34.906
2074	40.60	6.4515	38.02	38.0173	-0.0001	37.9465	40.54	13.3599	35.19	35.191	-0.0243	35.053
2075	40.60	6.4515	38.02	38.0180	-0.0001	37.9472	40.66	13.3680	35.31	35.308	-0.0188	35.168
2076	40.60	6.4515	38.02	38.0188	-0.0001	37.9480	39.63	10.9723	35.30	35.298	0.0016	35.181
2077	40.60	6.4515	38.02	38.0195	-0.0001	37.9487	39.66	10.8015	35.34	35.338	-0.0065	35.223
2078	40.60	6.4515	38.02	38.0202	-0.0001	37.9494	40.83	13.1979	35.49	35.493	-0.0249	35.353
2079	40.60	6.4515	38.02	38.0209	-0.0001	37.9502	40.94	13.3700	35.59	35.588	-0.0153	35.447
2080	40.60	6.4515	38.02	38.0217	-0.0001	37.9509	41.02	13.3734	35.67	35.673	-0.0137	35.531
2081	40.60	6.4515	38.02	38.0224	-0.0001	37.9516	39.34	9.6261	35.58	35.582	0.0146	35.478
2082	40.60	6.4515	38.02	38.0231	-0.0001	37.9523	37.00	4.4097	35.36	35.360	0.0359	35.308
2083	40.60	6.4515	38.02	38.0238	-0.0001	37.9531	35.13	0.3008	35.11	35.110	0.0404	35.100
2084	40.61	6.4515	38.02	38.0245	-0.0001	37.9538	34.99	0.0229	34.99	34.986	0.0200	34.979
2085	40.61	6.4515	38.03	38.0253	-0.0001	37.9545	34.90	0.0149	34.90	34.895	0.0146	34.890
2086	40.61	6.4515	38.03	38.0260	-0.0001	37.9552	34.83	0.0119	34.82	34.822	0.0118	34.818
2087	40.61	6.4515	38.03	38.0267	-0.0001	37.9559	34.76	0.0102	34.76	34.759	0.0101	34.755
2088	40.61	6.4515	38.03	38.0274	-0.0001	37.9566	34.71	0.0092	34.70	34.702	0.0092	34.699
2089	40.61	6.4515	38.03	38.0281	-0.0001	37.9573	34.65	0.0086	34.65	34.649	0.0086	34.646
2090	40.61	6.4515	38.03	38.0288	-0.0001	37.9580	34.60	0.0083	34.60	34.598	0.0082	34.595
2091	40.61	6.4515	38.03	38.0295	-0.0001	37.9587	34.55	0.0080	34.55	34.548	0.0080	34.545
2092	40.61	6.4515	38.03	38.0302	-0.0001	37.9594	34.50	0.0079	34.50	34.499	0.0079	34.496
2093	40.61	6.4515	38.03	38.0309	-0.0001	37.9601	34.45	0.0078	34.45	34.451	0.0078	34.448
2094	40.61	6.4515	38.03	38.0316	-0.0001	37.9608	34.41	0.0077	34.40	34.403	0.0077	34.400
2095	40.61	6.4515	38.03	38.0323	-0.0001	37.9615	36.12	3.7558	34.53	34.526	-0.0197	34.484
2096	40.61	6.4515	38.03	38.0329	-0.0001	37.9622	38.49	8.9727	34.78	34.777	-0.0406	34.683
2097	40.61	6.4515	38.03	38.0336	-0.0001	37.9628	40.38	13.0818	35.05	35.055	-0.0448	34.920
2098	40.61	6.4515	38.03	38.0343	-0.0001	37.9635	40.55	13.3599	35.21	35.205	-0.0243	35.067
2099	40.62	6.4515	38.03	38.0350	-0.0001	37.9642	40.67	13.3680	35.32	35.322	-0.0188	35.182
2100	40.62	6.4515	38.04	38.0357	-0.0001	37.9649	39.64	10.9723	35.31	35.312	0.0016	35.195
2101	40.62	6.4515	38.04	38.0363	-0.0001	37.9656	39.67	10.8016	35.35	35.352	-0.0065	35.237
2102	40.62	6.4515	38.04	38.0370	-0.0001	37.9662	40.85	13.1979	35.51	35.507	-0.0249	35.367
2103	40.62	6.4515	38.04	38.0377	-0.0001	37.9669	40.95	13.3700	35.60	35.602	-0.0153	35.461
2104	40.62	6.4515	38.04	38.0384	-0.0001	37.9676	41.04	13.3734	35.69	35.686	-0.0136	35.545
2105	40.62	6.4515	38.04	38.0390	-0.0001	37.9682	39.35	9.6262	35.60	35.596	0.0146	35.492
2106	40.62	6.4515	38.04	38.0397	-0.0001	37.9689	37.01	4.4097	35.37	35.374	0.0359	35.322
2107	40.62	6.4515	38.04	38.0403	-0.0001	37.9696	35.15	0.3008	35.12	35.123	0.0404	35.113
2108	40.62	6.4515	38.04	38.0410	-0.0001	37.9702	35.01	0.0229	35.00	34.999	0.0200	34.993
2109	40.62	6.4515	38.04	38.0417	-0.0001	37.9709	34.91	0.0149	34.91	34.909	0.0146	34.904
2110	40.62	6.4515	38.04	38.0423	-0.0001	37.9715	34.84	0.0119	34.84	34.836	0.0118	34.831
2111	40.62	6.4515	38.04	38.0430	-0.0001	37.9722	34.78	0.0102	34.77	34.773	0.0101	34.769
2112	40.62	6.4515	38.04	38.0436	-0.0001	37.9728	34.72	0.0092	34.72	34.716	0.0092	34.712
2113	40.62	6.4515	38.04	38.0443	-0.0001	37.9735	34.67	0.0086	34.66	34.662	0.0086	34.659
2114	40.63	6.4515	38.04	38.0449	-0.0001	37.9741	34.61	0.0083	34.61	34.611	0.0082	34.608
2115	40.63	6.4515	38.05	38.0456	-0.0001	37.9748	34.56	0.0080	34.56	34.562	0.0080	34.558
2116	40.63	6.4515	38.05	38.0462	-0.0001	37.9754	34.52	0.0079	34.51	34.513	0.0079	34.510
2117	40.63	6.4515	38.05	38.0469	-0.0001	37.9761	34.47	0.0078	34.46	34.464	0.0078	34.461
2118	40.63	6.4515	38.05	38.0475	-0.0001	37.9767	34.42	0.0077	34.42	34.416	0.0077	34.413
2119	40.63	6.4515	38.05	38.0481	-0.0001	37.9773	36.13	3.7558	34.54	34.539	-0.0197	34.498
2120	40.63	6.4515	38.05	38.0488	-0.0001	37.9780	38.50	8.9727	34.79	34.790	-0.0406	34.697
2121	40.63	6.4515	38.05	38.0494	-0.0001	37.9786	40.40	13.0818	35.07	35.068	-0.0448	34.933
2122	40.63	6.4515	38.05	38.0500	-0.0001	37.9792	40.56	13.3599	35.22	35.219	-0.0243	35.080
