Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
1286	37.81	6.45	35.23	35.23	0.00	35.23	38.41	13.21	33.13	33.13	-0.02	33.13
1287	37.82	6.45	35.24	35.24	0.00	35.24	38.58	13.36	33.23	33.23	-0.02	33.24
1288	37.83	6.45	35.25	35.25	0.00	35.25	38.68	13.37	33.33	33.33	-0.02	33.34
1289	37.84	6.45	35.26	35.26	0.00	35.26	37.13	9.61	33.29	33.29	0.01	33.29
1290	37.85	6.45	35.27	35.27	0.00	35.27	34.88	4.40	33.12	33.12	0.03	33.11
1291	37.86	6.45	35.28	35.28	0.00	35.28	33.03	0.31	32.90	32.90	0.04	32.89
1292	37.87	6.45	35.29	35.29	0.00	35.29	32.78	0.04	32.77	32.77	0.02	32.76
1293	37.88	6.45	35.30	35.30	0.00	35.30	32.68	0.02	32.67	32.67	0.02	32.67
1294	37.89	6.45	35.31	35.31	0.00	35.31	32.60	0.01	32.60	32.60	0.01	32.59
1295	37.90	6.45	35.32	35.32	0.00	35.32	32.54	0.01	32.54	32.54	0.01	32.53
1296	37.91	6.45	35.33	35.33	0.00	35.33	32.49	0.01	32.49	32.49	0.01	32.48
1297	37.92	6.45	35.34	35.34	0.00	35.34	32.44	0.01	32.44	32.44	0.01	32.44
1298	37.93	6.45	35.35	35.35	0.00	35.35	32.40	0.01	32.39	32.39	0.01	32.39
1299	37.94	6.45	35.36	35.36	0.00	35.36	32.35	0.01	32.35	32.35	0.01	32.35
1300	37.95	6.45	35.37	35.37	0.00	35.37	32.31	0.01	32.31	32.31	0.01	32.31
1301	37.96	6.45	35.38	35.38	0.00	35.38	32.27	0.01	32.27	32.27	0.01	32.26
1302	37.97	6.45	35.39	35.39	0.00	35.39	32.23	0.01	32.23	32.23	0.01	32.22
1303	37.97	6.45	35.39	35.39	0.00	35.40	33.82	3.77	32.31	32.31	-0.02	32.32
1304	37.98	6.45	35.40	35.40	0.00	35.40	36.12	8.98	32.53	32.53	-0.04	32.54
1305	37.99	6.45	35.41	35.41	0.00	35.41	38.02	13.08	32.79	32.79	-0.04	32.81
1306	38.00	6.45	35.42	35.42	0.00	35.42	38.30	13.34	32.97	32.97	-0.03	32.98
1307	38.01	6.45	35.43	35.43	0.00	35.43	38.45	13.36	33.10	33.10	-0.02	33.11
1308	38.02	6.45	35.44	35.44	0.00	35.44	37.52	10.96	33.13	33.13	-0.01	33.14
1309	38.03	6.45	35.45	35.45	0.00	35.45	37.50	10.81	33.18	33.18	-0.01	33.18
1310	38.04	6.45	35.46	35.46	0.00	35.46	38.60	13.21	33.32	33.32	-0.02	33.32
1311	38.05	6.45	35.47	35.47	0.00	35.47	38.77	13.36	33.42	33.42	-0.02	33.43
1312	38.06	6.45	35.48	35.48	0.00	35.48	38.87	13.37	33.52	33.52	-0.02	33.52
1313	38.07	6.45	35.49	35.49	0.00	35.49	37.32	9.61	33.48	33.48	0.01	33.48
1314	38.08	6.45	35.50	35.50	0.00	35.50	35.07	4.40	33.31	33.31	0.03	33.30
1315	38.08	6.45	35.50	35.50	0.00	35.51	33.21	0.31	33.09	33.09	0.04	33.08
1316	38.09	6.45	35.51	35.51	0.00	35.51	32.97	0.04	32.95	32.95	0.02	32.94
1317	38.10	6.45	35.52	35.52	0.00	35.52	32.86	0.02	32.86	32.86	0.02	32.85
1318	38.11	6.45	35.53	35.53	0.00	35.53	32.79	0.01	32.78	32.78	0.01	32.78
1319	38.12	6.45	35.54	35.54	0.00	35.54	32.73	0.01	32.72	32.72	0.01	32.72
1320	38.13	6.45	35.55	35.55	0.00	35.55	32.67	0.01	32.67	32.67	0.01	32.67
1321	38.14	6.45	35.56	35.56	0.00	35.56	32.62	0.01	32.62	32.62	0.01	32.62
1322	38.15	6.45	35.57	35.57	0.00	35.57	32.58	0.01	32.58	32.58	0.01	32.57
1323	38.16	6.45	35.58	35.58	0.00	35.58	32.53	0.01	32.53	32.53	0.01	32.53
1324	38.16	6.45	35.58	35.58	0.00	35.59	32.49	0.01	32.49	32.49	0.01	32.49
1325	38.17	6.45	35.59	35.59	0.00	35.59	32.45	0.01	32.45	32.45	0.01	32.44
1326	38.18	6.45	35.60	35.60	0.00	35.60	32.41	0.01	32.41	32.41	0.01	32.40
1327	38.19	6.45	35.61	35.61	0.00	35.61	34.00	3.77	32.49	32.49	-0.02	32.50
1328	38.20	6.45	35.62	35.62	0.00	35.62	36.30	8.98	32.71	32.71	-0.04	32.72
1329	38.21	6.45	35.63	35.63	0.00	35.63	38.20	13.08	32.97	32.97	-0.04	32.98
1330	38.22	6.45	35.64	35.64	0.00	35.64	38.48	13.34	33.15	33.15	-0.03	33.16
1331	38.23	6.45	35.64	35.64	0.00	35.65	38.63	13.36	33.28	33.28	-0.02	33.29
1332	38.23	6.45	35.65	35.65	0.00	35.65	37.70	10.96	33.31	33.31	-0.01	33.31
1333	38.24	6.45	35.66	35.66	0.00	35.66	37.68	10.81	33.36	33.36	-0.01	33.36
1334	38.25	6.45	35.67	35.67	0.00	35.67	38.77	13.21	33.49	33.49	-0.02	33.50
1335	38.26	6.45	35.68	35.68	0.00	35.68	38.94	13.36	33.60	33.60	-0.02	33.61
1336	38.27	6.45	35.69	35.69	0.00	35.69	39.04	13.37	33.69	33.69	-0.02	33.70
1337	38.28	6.45	35.70	35.70	0.00	35.70	37.50	9.61	33.65	33.65	0.01	33.65
1338	38.28	6.45	35.70	35.70	0.00	35.70	35.24	4.40	33.48	33.48	0.03	33.47
1339	38.29	6.45	35.71	35.71	0.00	35.71	33.38	0.31	33.26	33.26	0.04	33.25
1340	38.30	6.45	35.72	35.72	0.00	35.72	33.14	0.04	33.12	33.12	0.02	33.12
1341	38.31	6.45	35.73	35.73	0.00	35.73	33.04	0.02	33.03	33.03	0.02	33.02
1342	38.32	6.45	35.74	35.74	0.00	35.74	32.96	0.01	32.95	32.95	0.01	32.95
1343	38.33	6.45	35.75	35.75	0.00	35.75	32.90	0.01	32.89	32.89	0.01	32.89
1344	38.33	6.45	35.75	35.75	0.00	35.75	32.84	0.01	32.84	32.84	0.01	32.84
1345	38.34	6.45	35.76	35.76	0.00	35.76	32.79	0.01	32.79	32.79	0.01	32.79
1346	38.35	6.45	35.77	35.77	0.00	35.77	32.75	0.01	32.74	32.74	0.01	32.74
1347	38.36	6.45	35.78	35.78	0.00	35.78	32.70	0.01	32.70	32.70	0.01	32.70
1348	38.37	6.45	35.79	35.79	0.00	35.79	32.66	0.01	32.66	32.66	0.01	32.65
1349	38.37	6.45	35.79	35.79	0.00	35.79	32.62	0.01	32.61	32.61	0.01	32.61
1350	38.38	6.45	35.80	35.80	0.00	35.80	32.57	0.01	32.57	32.57	0.01	32.57
1351	38.39	6.45	35.81	35.81	0.00	35.81	34.17	3.77	32.66	32.66	-0.02	32.66
1352	38.40	6.45	35.82	35.82	0.00	35.82	36.46	8.98	32.87	32.87	-0.04	32.89
1353	38.41	6.45	35.83	35.83	0.00	35.83	38.36	13.08	33.13	33.13	-0.04	33.15
1354	38.41	6.45	35.83	35.83	0.00	35.83	38.65	13.34	33.31	33.31	-0.03	33.32
1355	38.42	6.45	35.84	35.84	0.00	35.84	38.79	13.36	33.44	33.44	-0.02	33.45
1356	38.43	6.45	35.85	35.85	0.00	35.85	37.86	10.96	33.47	33.47	-0.01	33.48
1357	38.44	6.45	35.86	35.86	0.00	35.86	37.84	10.81	33.52	33.52	-0.01	33.52
1358	38.45	6.45	35.87	35.87	0.00	35.87	38.94	13.21	33.65	33.65	-0.02	33.66
1359	38.45	6.45	35.87	35.87	0.00	35.87	39.10	13.36	33.76	33.76	-0.02	33.77
1360	38.46	6.45	35.88	35.88	0.00	35.88	39.20	13.37	33.85	33.85	-0.02	33.86
1361	38.47	6.45	35.89	35.89	0.00	35.89	37.66	9.61	33.81	33.81	0.01	33.81
1362	38.48	6.45	35.90	35.90	0.00	35.90	35.40	4.40	33.64	33.64	0.03	33.63
1363	38.48	6.45	35.90	35.90	0.00	35.90	33.54	0.31	33.42	33.42	0.04	33.41
1364	38.49	6.45	35.91	35.91	0.00	35.91	33.30	0.04	33.28	33.28	0.02	33.27
1365	38.50	6.45	35.92	35.92	0.00	35.92	33.19	0.02	33.19	33.19	0.02	33.18
1366	38.51	6.45	35.93	35.93	0.00	35.93	33.12	0.01	33.11	33.11	0.01	33.11
1367	38.51	6.45	35.93	35.93	0.00	35.94	33.05	0.01	33.05	33.05	0.01	33.05
1368	38.52	6.45	35.94	35.94	0.00	35.94	33.00	0.01	33.00	33.00	0.01	32.99
1369	38.53	6.45	35.95	35.95	0.00	35.95	32.95	0.01	32.95	32.95	0.01	32.94
1370	38.54	6.45	35.96	35.96	0.00	35.96	32.90	0.01	32.90	32.90	0.01	32.90
1371	38.54	6.45	35.96	35.96	0.00	35.97	32.86	0.01	32.86	32.86	0.01	32.85
1372	38.55	6.45	35.97	35.97	0.00	35.97	32.81	0.01	32.81	32.81	0.01	32.81
1373	38.56	6.45	35.98	35.98	0.00	35.98	32.77	0.01	32.77	32.77	0.01	32.77
1374	38.57	6.45	35.99	35.99	0.00	35.99	32.73	0.01	32.73	32.73	0.01	32.72
1375	38.57	6.45	35.99	35.99	0.00	35.99	34.32	3.77	32.81	32.81	-0.02	32.82
1376	38.58	6.45	36.00	36.00	0.00	36.00	36.62	8.98	33.02	33.02	-0.04	33.04
1377	38.59	6.45	36.01	36.01	0.00	36.01	38.51	13.08	33.28	33.28	-0.04	33.30
1378	38.60	6.45	36.02	36.02	0.00	36.02	38.80	13.34	33.46	33.46	-0.03	33.47
1379	38.60	6.45	36.02	36.02	0.00	36.02	38.94	13.36	33.60	33.60	-0.02	33.60
1380	38.61	6.45	36.03	36.03	0.00	36.03	38.01	10.96	33.63	33.63	-0.01	33.63
1381	38.62	6.45	36.04	36.04	0.00	36.04	37.99	10.81	33.67	33.67	-0.01	33.67
1382	38.63	6.45	36.05	36.05	0.00	36.05	39.09	13.21	33.80	33.80	-0.02	33.81
1383	38.63	6.45	36.05	36.05	0.00	36.05	39.25	13.36	33.91	33.91	-0.02	33.92
1384	38.64	6.45	36.06	36.06	0.00	36.06	39.35	13.37	34.00	34.00	-0.02	34.01
1385	38.65	6.45	36.07	36.07	0.00	36.07	37.81	9.61	33.96	33.96	0.01	33.96
1386	38.65	6.45	36.07	36.07	0.00	36.07	35.55	4.40	33.79	33.79	0.03	33.78
1387	38.66	6.45	36.08	36.08	0.00	36.08	33.69	0.31	33.57	33.57	0.04	33.55
1388	38.67	6.45	36.09	36.09	0.00	36.09	33.45	0.04	33.43	33.43	0.02	33.42
1389	38.68	6.45	36.10	36.10	0.00	36.10	33.34	0.02	33.33	33.33	0.02	33.33
1390	38.68	6.45	36.10	36.10	0.00	36.10	33.26	0.01	33.26	33.26	0.01	33.25
1391	38.69	6.45	36.11	36.11	0.00	36.11	33.20	0.01	33.20	33.20	0.01	33.19
1392	38.70	6.45	36.12	36.12	0.00	36.12	33.14	0.01	33.14	33.14	0.01	33.14
1393	38.70	6.45	36.12	36.12	0.00	36.12	33.09	0.01	33.09	33.09	0.01	33.09
1394	38.71	6.45	36.13	36.13	0.00	36.13	33.05	0.01	33.04	33.04	0.01	33.04
1395	38.72	6.45	36.14	36.14	0.00	36.14	33.00	0.01	33.00	33.00	0.01	33.00
1396	38.72	6.45	36.14	36.14	0.00	36.14	32.96	0.01	32.95	32.95	0.01	32.95
1397	38.73	6.45	36.15	36.15	0.00	36.15	32.91	0.01	32.91	32.91	0.01	32.91
1398	38.74	6.45	36.16	36.16	0.00	36.16	32.87	0.01	32.87	32.87	0.01	32.87
1399	38.75	6.45	36.16	36.16	0.00	36.17	34.46	3.77	32.95	32.95	-0.02	32.96
1400	38.75	6.45	36.17	36.17	0.00	36.17	36.76	8.98	33.17	33.17	-0.04	33.18
1401	38.76	6.45	36.18	36.18	0.00	36.18	38.66	13.08	33.43	33.43	-0.04	33.44
1402	38.77	6.45	36.19	36.19	0.00	36.19	38.94	13.34	33.60	33.60	-0.03	33.61
1403	38.77	6.45	36.19	36.19	0.00	36.19	39.08	13.36	33.74	33.74	-0.02	33.74
1404	38.78	6.45	36.20	36.20	0.00	36.20	38.15	10.96	33.76	33.76	-0.01	33.77
